id,genre,unique_id
298,Sci-Fi,298%Sci-Fi
298,Action,298%Action
298,Comedy,298%Comedy
299,Fantasy,299%Fantasy
299,Mystery,299%Mystery
299,Sci-Fi,299%Sci-Fi
300,Action,300%Action
300,Fantasy,300%Fantasy
300,Horror,300%Horror
300,Romance,300%Romance
301,Children,301%Children
301,Action,301%Action
301,Adventure,301%Adventure
301,Comedy,301%Comedy
301,Mystery,301%Mystery
302,Drama,302%Drama
302,Adventure,302%Adventure
302,Sci-Fi,302%Sci-Fi
303,Comedy,303%Comedy
303,Fantasy,303%Fantasy
304,Fantasy,304%Fantasy
304,Romance,304%Romance
304,Children,304%Children
304,Comedy,304%Comedy
305,Comedy,305%Comedy
